frame,r_hip_ang,r_knee_ang,r_ankle_ang,r_elbow_ang,r_shoulder_ang,gender,r_hip_vel,r_knee_vel,r_ankle_vel,r_elbow_vel,r_shoulder_vel,r_hip_accel,r_knee_accel,r_ankle_accel,r_elbow_accel,r_shoulder_accel
11,170.63596045861215,175.1909998569659,131.29871686735956,151.93175953763176,11.812609993474323,male,-5.8193355431319045,-3.7610971294736832,24.7336642621621,4.274880222209432,-11.21876796612247,-15.870915117632467,-10.25753762583732,67.45544798771482,11.65876424238936,-30.59663990760674
12,171.38435181583588,175.13960222982206,131.91692595958753,151.59917408237635,11.341959178070397,male,1.870978393059346,-0.1284940678596058,1.5455227305699282,-0.8314636381385299,-1.1766270385098163,4.677445982648365,-0.3212351696490145,3.863806826424821,-2.0786590953463246,-2.9415675962745413
13,169.72559837191395,173.62218567266336,131.21495528289097,152.5543880918355,10.590606013059528,male,-3.8278925628967806,-3.5017305165200696,-1.619932330838218,2.2043400218288194,-1.7338919192558513,-8.833598222069494,-8.080916576584777,-3.7383053788574254,5.08693851191266,-4.00128904443658
14,171.7944754258984,175.637101305515,137.58465027513864,152.2331157584699,9.158487574540118,male,4.433307972823855,4.317676356110626,13.6493464119593,-0.6884407143548847,-3.068825225398736,9.499945656051116,9.252163620237056,29.248599454198494,-1.4752301021890386,-6.576054054425863
15,171.90471034209415,173.51937770315277,135.19943751206674,152.26227505130592,8.208664860649264,male,0.2204698323914726,-4.235447204724437,-4.770425526143811,0.0583185856720547,-1.8996454277817063,0.4409396647829453,-8.470894409448874,-9.54085105228762,0.1166371713441094,-3.799290855563413
16,174.80103995297253,174.74141011179097,132.945730550161,152.21656788277576,6.146336935922136,male,5.430618020396967,2.291310766196624,-4.22570055357328,-0.0857009409940445,-3.866864858863366,10.182408788244311,4.296207686618669,-7.923188537949899,-0.1606892643638335,-7.250371610368811
17,177.61992257797553,176.86934141527644,131.68905848538856,151.66632938621257,3.791790624667669,male,4.974498750005292,3.755172888503768,-2.2176565848925254,-0.9710091115821108,-4.155081725743178,8.778527205891692,6.626775685594883,-3.9135116203985754,-1.7135454910272545,-7.332497163076196
18,178.00328008669285,176.22672609574363,134.32751425259104,149.9949909238788,2.471329718188485,male,0.6389291811955408,-1.0710255325546807,4.397426278670812,-2.7855641038896315,-2.2007681774653065,1.0648819686592346,-1.7850425542578012,7.329043797784687,-4.642606839816053,-3.6679469624421777
19,179.34075644185535,176.73719270496338,135.57189895066176,147.87909666716237,1.3883183086308577,male,2.1118047713092007,0.8059999092943384,1.964817944322186,-3.3408856684996047,-1.7100180150909905,3.334428586277685,1.2726314357279027,3.102344122613978,-5.27508263447306,-2.700028444880512
20,177.27500439659613,173.96483114546118,129.18581849914435,146.80842373102254,1.4258991985994385,male,-3.098628067888825,-4.158542339253302,-9.579120677276125,-1.6060094042097433,0.0563713349528711,-4.647942101833237,-6.2378135088799525,-14.368681015914184,-2.409014106314615,0.0845570024293067
21,176.9332678447512,173.50647468746075,135.0,144.23362302275157,1.7095853351372623,male,-0.4881950740641677,-0.6547949400006051,8.305973572650934,-3.6782867261013865,0.4052659093397483,-0.6974215343773824,-0.9354213428580074,11.865676532358478,-5.2546953230019815,0.5789512990567833
22,177.39354015108978,174.4251034517997,132.9934858430216,142.1516732220427,2.3475327453728028,male,0.6276440540980456,1.252675587734948,-2.736155668606906,-2.839022455512114,0.869928286684828,0.855878255588244,1.708193983274929,-3.731121366282145,-3.87139425751652,1.1862658454793111
23,175.44725699268272,173.50539898982652,133.1095473578349,140.14256077362157,2.6793933991579024,male,-2.5386302066178987,-1.199614515617213,0.1513845845391005,-2.620581454462332,0.4328617223283908,-3.311256791240737,-1.5647145855876694,0.1974581537466528,-3.4181497232117364,0.5646022465152923
